Loan_ID,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Gender_Male,Married_Yes,Dependents_1,Dependents_2,Dependents_3+,Education_Not Graduate,Self_Employed_Yes,Property_Area_Semiurban,Property_Area_Urban
LP001273,0.09772843680942066,0.21504218496583322,1.4189597982848712,0.2732312961117544,0.41173269183271005,1,1,0,0,0,0,0,1,0
LP001316,-0.4006279980413318,0.43735071155571414,-0.17554341627556563,0.2732312961117544,0.41173269183271005,1,1,0,0,0,0,0,1,0
LP001758,0.13868475131063304,0.025224904569858004,0.7644995236518561,0.2732312961117544,0.41173269183271005,1,1,0,1,0,0,0,1,0
LP002537,-0.5439750987955752,0.5228539910133606,-0.21124124943736647,0.2732312961117544,0.41173269183271005,1,1,0,0,0,0,0,1,0
LP002493,-0.2027270863714735,-0.5544873301529852,-0.5682195810553747,0.2732312961117544,-2.428760260810931,1,0,0,0,0,0,0,1,0
LP002191,2.3470492292160055,1.2465537483428806,5.048239503067955,0.2732312961117544,0.41173269183271005,1,1,0,0,0,0,0,0,0
LP001264,-0.3391935262895132,0.18631308306806402,-0.18744269399616592,0.2732312961117544,0.41173269183271005,1,1,0,0,1,1,1,1,0
LP001050,-0.33395111803335803,0.10115181672824809,-0.4016296929669709,0.2732312961117544,-2.428760260810931,1,1,0,1,0,1,0,0,0
LP001639,-0.2913565509520971,-0.5544873301529852,-0.44922680384937197,0.2732312961117544,0.41173269183271005,0,1,0,0,0,0,0,1,0
LP001935,0.672427441890433,-0.5544873301529852,0.49081613607804975,0.2732312961117544,0.41173269183271005,1,0,0,0,0,0,0,0,0
LP002706,-0.019406622664046805,-0.06540857165524729,0.1814349153424426,0.2732312961117544,-2.428760260810931,1,1,1,0,0,1,0,1,0
LP002862,0.11820659406002686,0.0012839863217169861,0.49081613607804975,2.1372759162519452,0.41173269183271005,1,1,0,1,0,1,0,1,0
LP002369,-0.4068533578455161,-0.5489740784062651,-0.6991116359819778,0.2732312961117544,0.41173269183271005,1,1,0,0,0,0,0,0,0
